# datau_toado.txt - TOA DO CUM QUAI CAC MAP NHIEM VU DA TAU
# SINH TU DONG boi ReverseTools/gen_datau_spots.py - doc file add NPC cua
# may chu trong pak (\maps\<map>\v_NNN\NNN_Region_S.dat).
# Auto Da Tau (CoreClient.dll) nap tep nay luc chay de biet cho nao co quai
# ma chay toi danh - sua tay duoc, khong can dung lai DLL.
#
# Cot:  MapID <tab> X <tab> Y <tab> SoQuai      (X/Y = MPS tuyet doi)
# Dong bat dau bang # la chu thich.
# LUU Y KHI SUA TAY:
#   - Luu bang ANSI (KHONG phai UTF-8) - tep co dau UTF-8 se hong dong dau.
#   - Cac dong CUNG MOT MapID nen de LIEN TIEP nhau cho de doc.
#   - Toa do lay tu VI TRI CON QUAI THAT (khong phai tam hinh hoc) nen
#     chac chan khong roi vao o vat can.

# ---- map 1: Ph­îng T­êng (1344 quai, neo nhiem vu 48896,87456) [DANG BAT]
1	46592	89540	7
1	48574	92677	7
1	43335	88935	8
1	51021	92908	7
1	42724	90690	8
1	55488	89856	7
1	45599	94872	7
1	43470	93734	8
1	42329	92736	8
1	43646	95882	7
1	44645	96560	8
1	57733	95740	7
1	42352	98742	8
1	43204	99864	8
1	43664	105816	8
1	42610	105934	8
1	44407	108072	8
1	43307	108046	11
1	43694	108864	9
1	54795	109065	9
1	56000	109984	8
1	53788	110884	14
1	43575	111077	9
1	42464	111232	9
# ---- map 2: Hoa S¬n (693 quai, neo nhiem vu 73184,130944) 
2	75328	129536	8
2	75589	128834	7
2	75971	128271	8
2	77178	127247	9
2	78600	129794	9
2	79334	127616	8
2	80385	127360	7
2	74109	121335	8
2	83106	128266	7
2	82354	123282	7
2	81621	122132	10
2	80235	120403	11
2	82791	122249	8
2	82441	121303	12
2	82507	120547	9
2	82316	119372	7
2	82304	118304	9
2	82690	117414	7
2	83413	117107	7
2	83124	116593	8
2	77408	113088	7
2	74907	112033	8
2	77209	111047	10
2	81286	112082	9
# ---- map 3: T©y B¾c KiÕm C¸c Thôc §¹o (338 quai, neo nhiem vu 29824,130432) 
3	32480	128640	5
3	26072	130936	5
3	26000	129930	5
3	32768	126752	4
3	29410	124030	4
3	32256	124288	5
3	25952	123488	4
3	35040	124320	5
3	31872	122304	4
3	34784	123584	4
3	35126	123359	5
3	30144	121376	5
3	27864	121188	4
3	32288	121248	4
3	28992	120576	4
3	34488	121524	4
3	36032	121248	4
3	32224	119584	4
3	27385	119411	4
3	31328	119007	4
3	30288	118833	4
3	25951	119197	4
3	35328	119136	4
3	34144	117984	5
# ---- map 4: KiÕm C¸c Thôc §¹o Kim Quang ®éng (230 quai, neo nhiem vu 57504,97856) 
4	57938	99742	4
4	55968	99520	4
4	54999	95621	3
4	54244	99715	4
4	55804	93380	4
4	52802	95203	3
4	52704	100544	6
4	57097	103522	4
4	50774	95672	4
4	50755	100627	4
4	53693	91354	3
4	50745	94015	4
4	52576	90688	3
4	51968	90368	3
4	50912	90752	3
4	51552	105600	4
4	49376	92298	3
4	48857	93133	3
4	46880	97888	5
4	47840	92768	4
4	46592	93504	4
4	45828	95439	3
4	45623	95077	4
4	43584	96544	4
# ---- map 5: Kinh Hoµng ®éng KiÕm C¸c Thôc §¹o (182 quai, neo nhiem vu 58304,111136) 
5	56852	112308	3
5	54680	111786	4
5	55811	114101	3
5	54688	112992	3
5	57011	115459	3
5	54448	108757	3
5	53653	112075	3
5	53005	110777	3
5	55659	116199	4
5	54944	105664	3
5	51794	112252	3
5	51680	110944	3
5	50533	110962	3
5	51808	115456	4
5	52774	117138	4
5	49024	111136	3
5	49696	115168	4
5	50368	105792	6
5	48822	113353	3
5	49888	116448	4
5	48832	105984	4
5	46784	112064	4
5	46304	110336	3
5	45415	108954	3
# ---- map 6: KiÕm C¸c Thôc §¹o Táa V©n ®éng (229 quai, neo nhiem vu 44288,105152) 
6	45600	106112	4
6	45261	106783	5
6	42080	103872	6
6	44704	101824	5
6	46544	108120	5
6	47785	106771	7
6	48064	102720	4
6	44744	109734	5
6	47770	102057	5
6	49634	105833	5
6	48177	110172	4
6	49205	109253	5
6	48721	100448	5
6	50747	103909	4
6	50023	100526	4
6	50735	100894	6
6	51687	108885	5
