Hoa S¬n KiÕm T«ng-§o¹t mÖnh liªn hoµn tam tiªn kiÕm	6	1	4062	\spr\item\questkey\obj_item_lection.spr	341	1	1	Ghi nhí bÝ quyÕt vâ c«ng Hoa S¬n KiÕm T«ng-§o¹t mÖnh liªn hoµn tam tiªn kiÕm, ®Ö tö Hoa S¬n cã thÓ sö dông kü n¨ng nµy.		0	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
Hoa S¬n KhÝ T«ng-BÝch Th¹ch Ph¸ Ngäc	6	1	4063	\spr\item\questkey\obj_item_lection.spr	341	1	1	Ghi nhí bÝ quyÕt vâ c«ng Hoa S¬n KhÝ T«ng-BÝch Th¹ch Ph¸ Ngäc, ®Ö tö Hoa S¬n cã thÓ sö dông kü n¨ng nµy.		0	1	0	\script\item\skillbook.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
MËt tÞch cÊp 21 kü n¨ng 150 ph¸i Hoa S¬n	6	1	4325	\spr\item\script\other\21miji.spr	41	1	1	NhÊn vµo sö dông cã thÓ n©ng kü n¨ng 150 ph¸i Hoa S¬n lªn cÊp 21		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
MËt tÞch cÊp 22 kü n¨ng 150 ph¸i Hoa S¬n	6	1	4326	\spr\item\script\other\22miji.spr	41	1	1	NhÊn vµo sö dông cã thÓ n©ng kü n¨ng 150 ph¸i Hoa S¬n lªn cÊp 22		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
MËt tÞch cÊp 23 kü n¨ng 150 ph¸i Hoa S¬n	6	1	4327	\spr\item\script\other\23miji.spr	41	1	1	NhÊn vµo sö dông cã thÓ n©ng kü n¨ng 150 ph¸i Hoa S¬n lªn cÊp 23		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
Hoa S¬n Kú Th­	6	1	4328	\spr\item\script\other\23miji.spr	41	1	1	TÝn vËt cña Vâ L©m Minh Chñ göi cho ch­ëng m«n Hoa S¬n		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
NguyÖt Ca LÖnh	6	1	2908	\spr\item\script\yuegeling.spr	41	1	1	Lªnh bµi thÇn bÝ trong truyÒn thuyÕt, nghe nãi cã thÓ dïng c¸i nµy ®Ó ®Õn NguyÖt Ca §¶o		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Thñy BiÒu	6	1	3942	\spr\item\hulupiao.spr	41	1	1	1 c¸i g¸o hå l« cã thÓ dïng ®Ó móc n­íc.		0	1	0	\script\global\huashan2013\item_shuipiao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Thanh LiÖt TuyÒn Thñy	6	1	3943	\spr\item\qingliequanshui.spr	41	1	1	N­íc ch¶y trong nói, thanh liÖt thuÇn khiÕt, dïng ®Ó pha trµ lµ tuyÖt phÈm 		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Thïng N­íc	6	1	3944	\spr\item\zhishujie2011\Ä¾Í°.spr	41	1	1	1 c¸i thïng trèng cã thÓ dïng ®Ó chøa n­íc.		0	1	0	\script\global\huashan2013\item_shuitong.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Dung TuyÕt Chi Thñy	6	1	3945	\spr\item\zhishujie2011\×°ÂúË®µÄÄ¾Í°.spr	41	1	1	B¨ng tan thµnh n­íc		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Nhai BÝch Chi Th¹ch	6	1	3946	\spr\item\script\item_zhushakuang.spr	41	1	1	Nham Th¹ch bªn h«ng nói rÊt ch¾c ch¾n.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Th­¬ng Tïng Ch©m DiÖp	6	1	3947	\spr\item\songzhen.spr	41	1	1	L¸ cña c©y tïng rÊt cøng.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
B¨ng Tµm ThuÕ	6	1	3948	\spr\item\bingcantui.spr	41	1	1	B¨ng Tµm ThuÕ cña Nam C­¬ng, vÞ cam, tÝnh b×nh, cã thÓ cho vµo thuèc.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
B¨ng Tµm Ngäc Lé Cao	6	1	3949	\spr\item\script\zhenlu_avd3.spr	41	1	1	Dïng B¨ng Tµm ThuÕ chÕ t¹o thuèc cao, cã t¸c dông thÇn kú ch÷a lµnh vÕt th­¬ng ®éc. 		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
V©n Tö Tr¾c Thu B×nh	6	1	3950	\spr\item\qipan.spr	41	1	1	KÕt cÊu tinh tÕ, hµi hßa víi thiªn nhiªn vµ m­ît mµ nh­ ngäc, mµu s¾c nh­ m©y lµ chÊt ®Ó lµm cê tèt.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Tµi s¶n cña d©n lµng	6	1	3951	\spr\item\obj_item_jixiang.spr	41	1	1	Tµi s¶n r¶i r¸c cña d©n lµng.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
CÈm nang	6	1	3952	\spr\item\script\qingming_jieri\200903\wanhuafudai.spr	41	1	1	1 c¸i cÈm nang më ra cã thÓ nhËn ®­îc nhiÖm vô.		0	1	0	\script\global\huashan2013\item_jinnang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
M¶nh giÊy thø 1	6	1	3953	\spr\item\lottery\wulincaiquan_argent.spr	41	1	1	KiÕm ¸i kiÕm gi¶ chi bæn, ®i hç trî Chó KiÕm S­ ¢n KiÕm Thu söa thÇn kiÕm cña bæn m«n.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
M¶nh giÊy thø 2	6	1	3954	\spr\item\lottery\wulincaiquan_argent.spr	41	1	1	Muèn thµnh kiÕm gi¶ giái cÇn ph¶i tu t©m tr­íc. H·y ®i ra sau nói Béc Bè tÜnh t©m 1 lÇn ®i.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
M¶nh giÊy thø 3	6	1	3955	\spr\item\lottery\wulincaiquan_argent.spr	41	1	1	Ph¶n ®å cña ph¸i Hoa S¬n tõ v« h×nh mµ c¶m thËn ®­îc khÝ träng, cã th«ng tin nãi lµ h¾n ®ang ho¹t ®éng ë T©y Nam KiÕm L¹c. GiÕt h¾n ®i. 		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
B¹ch Hæ HuyÕt	6	1	3956	\spr\item\yangmeikeshui.spr	41	1	1	Thiªn h¹ dòng m·nh nhÊt lµ huyÕt cña B¹ch Hæ, cã thÓ dïng ®Ó tÕ kiÕm.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Mét ®èng nguyªn liÖu gç ®á	6	1	3957	\spr\item\muliao.spr	41	1	1	Gç ®á cøng vµ ch¾c ch¾n, lµ nguyªn liÖu tèt ®Ó chÕ t¹o kiÕm gç.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
Mét bøc mËt lÖnh	6	1	3958	\spr\item\questkey\taskobj090.spr	41	1	1	Ng­êi nµo cã liªn quan ®Õn Nh¹c Minh Phi th× giÕt kh«ng tha.		0	1	0	\script\global\huashan2013\item_miling.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
Th­ cña Nh¹c Minh Phi	6	1	3959	\spr\item\questkey\taskobj075.spr	41	1	1	Th­ cña Nh¹c Minh Phi göi cho T« Phong cña ph¸i Hoa S¬n.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
LÖnh bµi Hoa S¬n Ph¸i	6	1	30339	\spr\vng\item\lenhbaihoason.spr	41	1	1	LÖnh bµi dµnh cho kh¸ch quý ra vµo m«n ph¸i Hoa S¬n.		0	1	0	\script\item\noscript.lua	0	1	1	0	0		250	0	0	0	0	0	0	0	0	0
